texte,label
Felicitations! Vous avez gagne 500000 FCFA a la loterie MIXX. Envoyez votre code OTP pour retirer,1
MIXX: Votre compte sera bloque dans 24h. Confirmez votre code PIN en repondant a ce message,1
"Bonjour je suis agent Flooz, une erreur de depot a ete faite, renvoyez 15000 FCFA au 90112233",1
"URGENT votre compte Moov Money est suspendu, cliquez sur bit.ly/moov-verif pour reactiver",1
"Vous etes selectionne pour recevoir un cadeau de 1000000 FCFA, donnez votre code de verification",1
"Cher client Ecobank, votre carte est bloquee. Confirmez vos identifiants sur http://ecobank-tg.xyz",1
Tirage au sort TogoCom: vous avez gagne un smartphone. Envoyez 5000 FCFA de frais pour recevoir,1
"Je suis le service client Yas, donnez moi votre code OTP pour securiser votre compte immediatement",1
Offre d'emploi: gagnez 200000 FCFA par semaine sans diplome. Payez 10000 FCFA d'inscription,1
Votre numero a ete tire au sort. Pour valider votre prix envoyez votre code PIN maintenant,1
"Felicitation vous avez ete choisi, transferez 20000 fcfa pour debloquer votre gain de 2 millions",1
ALERTE: transaction suspecte sur votre compte. Communiquez votre mot de passe pour annuler,1
"Bonjour cher gagnant du concours Flooz, votre recompense vous attend. Envoyez le code recu par sms",1
"Votre compte mobile money expire aujourd'hui, rechargez 3000 FCFA immediatement pour eviter la fermeture",1
Kaba! do ga 50000 fcfa na code la fifia,1
"Nunana na wo, ɖo ga 25000 fcfa kaba",1
"Service Mixx: probleme detecte, envoyez votre code secret sans tarder pour proteger vos fonds",1
"Vous avez recu un depot de 100000 FCFA par erreur, veuillez le retourner au 79887766 rapidement",1
Gagnez de l'argent facile! Cliquez ici tinyurl.com/argent-rapide et inscrivez vous maintenant,1
"Cher abonne, reclamez votre bonus de 50000 FCFA en confirmant votre code de transaction",1
"Votre colis est bloque a la douane, payez 12000 FCFA de frais au 90556677 pour la liberation",1
"Banque UTB: votre compte presente une anomalie, verifiez votre identite sur ce lien urgent",1
Promo speciale operateur: doublez votre credit en envoyant votre code de recharge au 98001122,1
"Bonjour, votre demande de pret de 500000 FCFA est approuvee. Payez 15000 FCFA de dossier d'abord",1
"Dernier avertissement: votre ligne sera resiliee, confirmez votre PIN pour la maintenir active",1
"Salut, on se voit demain a 15h pour la reunion de projet, merci de confirmer",0
"Bonjour maman, je rentre ce soir vers 19h, prepare un peu a manger stp",0
"Merci pour le paiement de la facture d'electricite, votre solde est a jour",0
"La reunion de l'equipe est reportee a jeudi 10h en salle B, notez bien",0
"Coucou, tu peux m'envoyer les photos du weekend quand tu as le temps ?",0
"Rappel: rendez-vous chez le dentiste demain a 9h30, merci de ne pas oublier",0
"Bonjour, votre commande a bien ete expediee et arrivera sous 3 jours ouvres",0
Joyeux anniversaire! Je te souhaite une excellente journee remplie de bonheur,0
"Le cours de mathematiques de ce soir est annule, on se retrouve la semaine prochaine",0
"Merci beaucoup pour ton aide hier, c'etait vraiment gentil de ta part",0
"Bonjour, pouvez-vous me confirmer l'adresse exacte du bureau pour la livraison ?",0
"On part au marche cet apres-midi, tu veux que je te ramene quelque chose ?",0
"Ton colis est disponible au point relais, ouvert de 8h a 18h du lundi au samedi",0
"Bonsoir, la connexion internet est retablie dans le quartier, tout fonctionne",0
"Felicitations pour ton nouveau poste! Tu le merites vraiment, bravo a toi",0
N'oublie pas d'acheter du pain et du lait en rentrant ce soir stp,0
"La banque sera fermee lundi pour le jour ferie, pensez a anticiper vos operations",0
"Bonjour, je vous confirme notre rendez-vous de mardi a 14h dans vos locaux",0
"Le match commence a 20h ce soir, on regarde ensemble chez moi ?",0
"Merci pour votre visite, n'hesitez pas a revenir, bonne continuation",0
"Ndo, akpe na wo le kpekpeɖeŋu la ta, esɔ ŋutɔ",0
"Bonjour cher client, votre abonnement mensuel a bien ete renouvele, merci de votre fidelite",0
"Je t'appelle dans 10 minutes, je termine juste une reunion, a tout de suite",0
"Le colis a ete livre a votre domicile ce matin, merci d'avoir commande chez nous",0
"Rappel amical: la cotisation du groupe est a deposer avant vendredi, merci a tous",0
Afefe! Èɖu ga 1.000.000 FCFA le TogoCom tombola me. Ɖo wò OTP code ɖa na 90112233 ne xɔ ga.,1
Moov Money: Wò account adze xa le ga 24 me. Ɖo wò PIN code ɖa ne mia de do nu me.,1
Flooz alert: Meɖe kuku mexɔ fe 50000 FCFA le wò account ji le vodada me. Gbugbɔe ɖo ɖe 91001122 kaba.,1
T-Money news: Èxɔ cadeau le Mixx promo me. Ɖo 2000 FCFA na registration kaba.,1
Dɔ le anyi: Èga xɔ 150.000 FCFA le kwasiɖa ɖeka me gbeɖe diplôme mɛ. Xe 5000 FCFA na frais.,1
"Mixx TogoCom: Nɔvi, ga le gbanm. Ɖo OTP code na mia gbe ne na xɔ 500.000 FCFA.",1
Ecobank Togo: Wò account le va tuxu. Kpɔ wò account le link sia me: ecobank-togo-update.com,1
Félicitations! Èɖu Moto yeye le Loterie National Togo. Ɖo 10000 FCFA ne mia tra spédition.,1
Service client Yas: Ɖo wò code PIN kaba ne mia sécuriser wò compte Moov.,1
URGENT: T-Money compte wò gblẽ. Zia bit.ly/tmoney-togo ne na tra fiasẽ.,1
Offre spéciale: Xɔ prêt instantané de 200000 FCFA sans garantie. Envoyer votre PIN au 92000011.,1
"Nɔvi, wò numéro ɖu cadeau le Moov Togo! Ɖo wò code secret na confirmation.",1
Avis Flooz: Vous avez un dépôt en attente de 300.000 FCFA. Payez 5.000 FCFA de validation.,1
TogoCom Promo: Win a iPhone 15! Send 1000 FCFA to 90001122 and reply with your OTP.,1
Kpekpe yeye: Èxɔ bouse de study le Canada. Payez les frais de dossier de 25000 FCFA kaba.,1
INFO TOGOCOM: Votre SIM sera desactivee d'ici 12h. Envoyez le code de securite recu par SMS.,1
Gagnez 50.000 FCFA d'interet par jour avec notre plateforme d'investissement. Cliquez ici: bit.ly/togo-invest,1
Service Moov: Erreur sur votre transfert de 80.000 FCFA. Reclamez votre argent en tapant votre PIN.,1
BANQUE ATLANTIQUE: Mettre a jour vos donnees bancaires d'urgence sur www.atlantique-togo-login.com,1
Loterie Mixx: Vous etes le grand gagnant du tirage mensuel de 2.000.000 FCFA! Contactez le 93000000.,1
"Nɔvi, fika nèle? Míado go le zã me le 18h le afi ma.",0
Miawoe zɔ! Nuka le dzɔdzɔm le afe me? Mia gbo zã sia.,0
Akpe kaka na ga si ɖo ɖe nye le T-Money. Mawu nyra wo.,0
"Va kaba le fiasẽ me, dɔ le kɔm na mí egbe.",0
"Deviwo le agbe, xɔ fofom na nye, va xɔ nuɖuɖu le zã me.",0
"Rappel: Suku meeting le fiẽ sia 17h le eklisia me, mega wɔ ŋku o.",0
"Dada le yɔwòm le telephone ji, yɔe kaba ne dɔ adzo.",0
"Nɔvi, afe me do me nyuie? Maɖo adiba sia na wo le etsɔ suklũ.",0
"Egbe ye nye kpekpe le fiasẽ me, tra kaba ne mia de do nu me.",0
"Etsɔ fiẽ la, mía dzo ɖe asime ne mia fle nuɖuɖuwo.",0
Moov Money: Èɖo 10.000 FCFA ɖe Kossi (90123456). Wò solde yeye ye nye 25.000 FCFA.,0
T-Money: Confirmation de transfert de 15.000 FCFA vers 91234567. Solde: 45.000 FCFA.,0
Mawu nyra wò agbe etsɔ kple egbe. Mia do go le eklisia me sukuɖa me.,0
"Kofi, meɖe kuku fle abolo kple notsi na mii le gbe me.",0
"Bonjour dada, meɖo ga si nèbia la ɖe wò T-Money ji.",0
"Salut, n'oublie pas d'apporter le document pour le projet cet apres-midi.",0
"Merci pour le repas d'hier soir, c'etait vraiment delicieux!",0
Le cours de demain a ete decale a 14h en salle 302.,0
Tu peux passer a la maison ce soir vers 20h pour qu'on discute ?,0
"Bonjour, votre facture CEET du mois est disponible, le montant est de 12.500 FCFA.",0
