texte,label
"Felicitations! Vous avez gagne 500000 FCFA a la loterie MIXX. Envoyez votre code OTP pour retirer",1
"MIXX: Votre compte sera bloque dans 24h. Confirmez votre code PIN en repondant a ce message",1
"Bonjour je suis agent Flooz, une erreur de depot a ete faite, renvoyez 15000 FCFA au 90112233",1
"URGENT votre compte Moov Money est suspendu, cliquez sur bit.ly/moov-verif pour reactiver",1
"Vous etes selectionne pour recevoir un cadeau de 1000000 FCFA, donnez votre code de verification",1
"Cher client Ecobank, votre carte est bloquee. Confirmez vos identifiants sur http://ecobank-tg.xyz",1
"Tirage au sort TogoCom: vous avez gagne un smartphone. Envoyez 5000 FCFA de frais pour recevoir",1
"Je suis le service client Yas, donnez moi votre code OTP pour securiser votre compte immediatement",1
"Offre d'emploi: gagnez 200000 FCFA par semaine sans diplome. Payez 10000 FCFA d'inscription",1
"Votre numero a ete tire au sort. Pour valider votre prix envoyez votre code PIN maintenant",1
"Felicitation vous avez ete choisi, transferez 20000 fcfa pour debloquer votre gain de 2 millions",1
"ALERTE: transaction suspecte sur votre compte. Communiquez votre mot de passe pour annuler",1
"Bonjour cher gagnant du concours Flooz, votre recompense vous attend. Envoyez le code recu par sms",1
"Votre compte mobile money expire aujourd'hui, rechargez 3000 FCFA immediatement pour eviter la fermeture",1
"Kaba! do ga 50000 fcfa na code la fifia",1
"Nunana na wo, ɖo ga 25000 fcfa kaba",1
"Service Mixx: probleme detecte, envoyez votre code secret sans tarder pour proteger vos fonds",1
"Vous avez recu un depot de 100000 FCFA par erreur, veuillez le retourner au 79887766 rapidement",1
"Gagnez de l'argent facile! Cliquez ici tinyurl.com/argent-rapide et inscrivez vous maintenant",1
"Cher abonne, reclamez votre bonus de 50000 FCFA en confirmant votre code de transaction",1
"Votre colis est bloque a la douane, payez 12000 FCFA de frais au 90556677 pour la liberation",1
"Banque UTB: votre compte presente une anomalie, verifiez votre identite sur ce lien urgent",1
"Promo speciale operateur: doublez votre credit en envoyant votre code de recharge au 98001122",1
"Bonjour, votre demande de pret de 500000 FCFA est approuvee. Payez 15000 FCFA de dossier d'abord",1
"Dernier avertissement: votre ligne sera resiliee, confirmez votre PIN pour la maintenir active",1
"Salut, on se voit demain a 15h pour la reunion de projet, merci de confirmer",0
"Bonjour maman, je rentre ce soir vers 19h, prepare un peu a manger stp",0
"Merci pour le paiement de la facture d'electricite, votre solde est a jour",0
"La reunion de l'equipe est reportee a jeudi 10h en salle B, notez bien",0
"Coucou, tu peux m'envoyer les photos du weekend quand tu as le temps ?",0
"Rappel: rendez-vous chez le dentiste demain a 9h30, merci de ne pas oublier",0
"Bonjour, votre commande a bien ete expediee et arrivera sous 3 jours ouvres",0
"Joyeux anniversaire! Je te souhaite une excellente journee remplie de bonheur",0
"Le cours de mathematiques de ce soir est annule, on se retrouve la semaine prochaine",0
"Merci beaucoup pour ton aide hier, c'etait vraiment gentil de ta part",0
"Bonjour, pouvez-vous me confirmer l'adresse exacte du bureau pour la livraison ?",0
"On part au marche cet apres-midi, tu veux que je te ramene quelque chose ?",0
"Ton colis est disponible au point relais, ouvert de 8h a 18h du lundi au samedi",0
"Bonsoir, la connexion internet est retablie dans le quartier, tout fonctionne",0
"Felicitations pour ton nouveau poste! Tu le merites vraiment, bravo a toi",0
"N'oublie pas d'acheter du pain et du lait en rentrant ce soir stp",0
"La banque sera fermee lundi pour le jour ferie, pensez a anticiper vos operations",0
"Bonjour, je vous confirme notre rendez-vous de mardi a 14h dans vos locaux",0
"Le match commence a 20h ce soir, on regarde ensemble chez moi ?",0
"Merci pour votre visite, n'hesitez pas a revenir, bonne continuation",0
"Ndo, akpe na wo le kpekpeɖeŋu la ta, esɔ ŋutɔ",0
"Bonjour cher client, votre abonnement mensuel a bien ete renouvele, merci de votre fidelite",0
"Je t'appelle dans 10 minutes, je termine juste une reunion, a tout de suite",0
"Le colis a ete livre a votre domicile ce matin, merci d'avoir commande chez nous",0
"Rappel amical: la cotisation du groupe est a deposer avant vendredi, merci a tous",0
